company,type,rec_details,job details,city,skills,details,job_link,posted_time,posted_date,experience in int,actively_hiring/hiring
Market Wavegen,Regular,Recruiter DetailsMarket WavegenOther Maharashtrahidden_emailhidden_mobile,"Company Description

Market Wavegen is a B2B marketing agency located in Pune/Pimpri-Chinchwad Area. Our core values revolve around Intelligent Database Account-Based Marketing (ABM) and Strategic Interest Reversal Sales (SIRS), which form the bedrock of our remarkable achievements. We prioritize gaining a deep understanding of the unique needs, pain points, and aspirations of our target accounts, always keeping customer interests at the forefront. With an extensive, GDPR-compliant database, we offer access to reliable business data that provides deep insights into your prospects"" needs.

Role Description

This is a full-time hybrid role for a Data Analyst at Market Wavegen. The Data Analyst will be responsible for analyzing and interpreting complex data and turning it into actionable insights for the company's clients. The work will be located in Pune/Pimpri-Chinchwad Area, but some remote work is acceptable.

Qualifications
 Analytical Skills, Data Analytics, and Statistics. proficiency
 Good Communication skills
 Data Modeling experience
 Bachelor's or Master's degree in a relevant field (e.g. statistics, mathematics, economics etc.)
 Experience in B2B marketing is a plus.
 Experience using tools such as SQL, Python or R is a plus.

The ideal candidate should possess strong analytical skills and experience in data analytics and statistics. Experience with data modeling and good communication skills are also required. A Bachelor's or Master's degree in a relevant field is preferred and experience in B2B marketing is a plus. Candidates with experience using tools such as SQL, Python, or R are highly desired,",Other Maharashtra,"Analytical Skills,Data Analytics,Statistics,Data Modeling,SQL,Python,R,Good Communication skills",Recruiter DetailsMarket WavegenOther Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/market-wavegen/14532756,Hot1 day ago,2024-03-30,"(2, 6)",Actively hiring
Star Agriseeds Private Limited,Regular,Recruiter DetailsStar Agriseeds Private LimitedOther Rajasthanhidden_emailhidden_mobile,"Position: Financial Data Analyst

Location: Sri Ganganagar, Rajasthan

Fulltime & Onsite

Job Summary:

We are seeking a highly skilled Financial Data Analyst to join our team. The ideal candidate will be responsible for analyzing financial data, generating reports, and providing insights to support strategic decision-making. The Financial Data Analyst will collaborate with various departments to gather, analyze, and interpret financial information, identifying trends, patterns, and opportunities for improvement.

Responsibilities:

1. Collect, organize, and analyze financial data from various sources.

2. Conduct variance analysis and performance tracking against budget and forecasts.

3. Assist in the preparation of financial statements and regulatory filings.

4. Collaborate with cross-functional teams to understand business requirements and provide analytical support.

5. Ensure data accuracy, integrity, and compliance with relevant standards and regulations.

Qualifications:

. Bachelor's degree in Finance, Accounting, Economics, or related field. (Master's degree preferred)

 Proven experience as a Financial Analyst, Data Analyst, or similar role.

 Proficiency in financial modelling, forecasting, and statistical analysis.

 Advanced knowledge of Microsoft Excel, SQL, and other data analysis tools.

 Detail-oriented with a focus on accuracy and precision.

 Relevant certifications (e.g., CFA, CPA, & CMA) are desirable,",Other Rajasthan,"Financial Analysis,Data Analysis,Financial Modelling,Forecasting,Statistical Analysis,Microsoft Excel,SQL,Financial Data Analyst",Recruiter DetailsStar Agriseeds Private LimitedOther Rajasthanhidden_emailhidden_mobile,https://www.shine.com/jobs/financial-data-analyst-permanent/star-agriseeds-private-limited/14567205,Hot0 days ago,2024-03-31,"(2, 6)",Actively hiring
Anaxee Digital Runners Private Limited,Regular,Recruiter DetailsAnaxee Digital Runners Private LimitedIndorehidden_emailhidden_mobile,"Responsibilities
 Ensure that data flows smoothly from source to destination so that it can be processed
 Utilize strong database skills to work with large, complex data sets to extract insights
 Filter and cleanse unstructured (or ambiguous) data into usable data sets that can be analyzed to extract insights and improve business processes
 Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data infrastructure
 Build tools for automating repetitive tasks so that bandwidth can be freed for analytics
 Collaborate with program managers and business analysts to help them come up with actionable, high-impact insights across product lines and functions
 Work closely with top management to prioritize information and analytic needs

Requirements
 Bachelors or Masters (Pursuing or Graduated) in a quantitative field (such as Engineering, Statistics, Math, Economics, or Computer. Science with Modeling/Data Science), preferably with work experience of over [X] years.
 Ability to program in any high-level language is required. Familiarity with R and statistical packages are preferred.
 Proven problem solving and debugging skills.
 Familiar with database technologies and tools (SQL/R/SAS/JMP etc.), data warehousing, transformation, and processing. Work experience with real data for customer insights, business, and market analysis will be advantageous.
 Experience with text analytics, data mining and social media analytics.
 Statistical knowledge in standard techniques: Logistic Regression, Classification models, Cluster Analysis, Neural Networks, Random Forests, Ensembles, etc,",Indore+1Other Madhya Pradesh,"data cleansing,data analysis,automation,analytics,problem solving,debugging,data warehousing,text analytics,data mining,Logistic Regression,Cluster Analysis,Neural Networks,database skills,data sets,data infrastructure,database technologies,social media analytics,statistical knowledge,Classification models,Random Forests,Ensembles",Recruiter DetailsAnaxee Digital Runners Private LimitedIndorehidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/anaxee-digital-runners-private-limited/14539496,Hot3 days ago,2024-03-28,"(2, 6)",Actively hiring
OKANKIT,Regular,Recruiter DetailsOKANKITOther Gujarathidden_emailhidden_mobile,"OKANKIT Digital Marketing Company is looking for Data Analysts to work on-site in our Ahmedabad office. Dive into data, uncover insights, and shape strategies in the heart of the digital marketing world.

Key Points:
 Location: Ahmedabad (No Work From Home)
 Skills Needed: SQL, Python/R, Data Visualization,Exel
 What We Offer: Competitive salary, vibrant team, and a dynamic work environment.

Why Ahmedabad  A thriving tech and digital marketing hub with a rich cultural backdrop.

Apply Now and be part of OKANKIT's mission to redefine digital marketing with data.

 Interested  Send your resume to hidden_email.

#DataAnalyst #AhmedabadJobs #DigitalMarketing #OKANKIT
,",Other Gujarat+1Ahmedabad,"SQL,Data Visualization,Excel,PythonR",Recruiter DetailsOKANKITOther Gujarathidden_emailhidden_mobile,https://www.shine.com/jobs/data-analysts-ahmedabad-permanent/okankit/14578606,4 days ago,2024-03-27,"(2, 6)",hiring
Teknoturf Info Services Pvt Ltd,Regular,Recruiter DetailsTeknoturf Info Services Pvt LtdOther Tamil Naduhidden_emailhidden_mobile,"Data Analytics /Data Science Job Description

We are looking for candidates for our technology automation team to create content and technology automation in the areas of data science. The primary focus will be the automation of various technologies related to data analytics and data science.

Responsibilities
 Automation of various data science-related technologies to our platform.
 Create data science-related learning content and activities.
 Integration of various tools with the platform for data analysis.

Experience & Qualification:

 2-6 years of working experience in Data Analytics/Data Science technologies.

 B.E./ B.Tech (Preferably)/Any Bachelors or degree in Computer Science, Information Technology, or a related field.
 Strong problem-solving skills and a keen interest in IT.
 Excellent communication skills and a customer-oriented approach.
 Quick learner with the ability to adapt to new technologies.

Skills Required:
 Strong programming skills in languages like. Python, R, or similar are needed for data manipulation and analysis.
 Working knowledge in Flask/Djanko frameworks,AI and ML algorithms.
 Knowledge of front-end technologies, such as JavaScript, HTML5, and CSS3.
 Knowledge of object-oriented programming and design patterns.
 Familiarity with SQL/NoSQL databases and their declarative query languages.
 Strong problem-solving skills and the ability to work in a collaborative team environment
 Familiarity with data visualization tools.
 Stay updated with the latest advancements in data science
 Working knowledge in Alteryx, Tableau, Databricks, Data Warehousing with Snowflake, Big Data Hadoop, and Spark will be an added advantage

Work location/Type: Coimbatore/Full-Time

Salary : As per the company standard

Job Types: Full-time, Permanent

Salary: 22,000.00 - 65,000.00 per month

Benefits:
 Health insurance
 Internet reimbursement
 Provident Fund

Schedule:
 Day shift

Work Location: In person

Application Deadline: 29/02/2024
Expected Start Date: 01/03/2024,",Other Tamil Nadu+1Coimbatore,"Python,R,Flask,Django,JavaScript,HTML5,CSS3,SQL,NoSQL,data visualization,Alteryx,Tableau,Data Warehousing,Snowflake,Spark,AI,ML algorithms,Databricks,Big Data Hadoop",Recruiter DetailsTeknoturf Info Services Pvt LtdOther Tamil Naduhidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/teknoturf-info-services-pvt-ltd/14532930,Hot1 day ago,2024-03-30,"(2, 6)",Actively hiring
Novelty Data Solutions LLP,Regular,Recruiter DetailsNovelty Data Solutions LLPOther Karnatakahidden_emailhidden_mobile,"Requirements
 Proven experience as a Data Scientist or Data Analyst.
 Experience in data mining.
 Understanding of machine-learning and operations research.
 Experience using business intelligence tools (e. g. Tableau/ Qliksence ).
 Analytical mind.
 Problem-solving aptitude.
 Excellent communication and presentation skills.
 BSc/BA in Computer Science, Mathematics, Statistics, Engineering or relevant field.
 A diploma/Degree in Data Science or other quantitative field is preferred.
 Knowledge in the cloud ( GCP/Azure) will be an added advantage.

This job was posted by Ashan Almeida from Novelty Data Solutions.,",Other Karnataka,"Data mining,Operations research,Business intelligence tools,Analytical,Communication,Presentation,Data Scientist,Data Analyst,Machinelearning,Problemsolving,Cloud GCPAzure",Recruiter DetailsNovelty Data Solutions LLPOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/novelty-data-solutions-llp/14474662,1 week ago,2024-03-30,"(2, 6)",hiring
Fixity Technologies Pvt Ltd,Regular,Recruiter DetailsFixity Technologies Pvt LtdVijayawadahidden_emailhidden_mobile,"As a Data Analytics Trainer, you will be responsible for designing and delivering training programs focused on data analytics, covering topics such as data visualization, statistical analysis, and data interpretation. The ideal candidate should have a strong background in data analytics, a proficiency in relevant tools and technologies, and a passion for teaching. Your role will be pivotal in equipping participants with the skills needed to excel in the field of data analytics.

Key Responsibilities:
 Curriculum Development:
 Design and develop comprehensive training materials, curriculum, and hands-on exercises for data analytics.
 Stay updated with the latest tools, techniques, and trends in the data analytics field.
 Classroom Instruction:
 Conduct engaging and interactive training sessions for diverse groups of learners, ensuring a positive and effective learning experience.
 Cover topics such as data exploration, statistical analysis, machine learning, and data. visualization.
 Practical Workshops:
 Organize and facilitate practical workshops, allowing participants to apply data analytics concepts to real-world scenarios.
 Provide guidance on using analytics tools and interpreting results.
 Tool Proficiency:
 Instruct participants on the use of popular data analytics tools such as Python, R, SQL, and visualization tools like Tableau or Power BI.
 Conduct hands-on sessions to familiarize participants with these tools.
 Case Studies:
 Present and analyze real-world case studies, demonstrating the application of data analytics in solving business problems.
 Assessment and Feedback:
 Develop and administer assessments to evaluate participants"" understanding and proficiency in data analytics concepts.
 Provide constructive feedback and support to help participants enhance their analytical skills.
 Stay Updated:
 Stay abreast of emerging trends and technologies in the data analytics field.
 Continuously update training materials to reflect industry best practices.
 Collaboration:
 Collaborate with other trainers, subject matter experts, and stakeholders to ensure the training program aligns with the latest industry standards.

Qualifications and Skills:
 Bachelor's or Master's degree in Computer Science, Information Technology, BE,

B TECH, M-TECH, MCA or in related field.
 Proven experience in data analytics, with expertise in statistical analysis, machine learning, and data visualization.
 Proficiency in data analytics tools and programming languages (e.g., Python, R, SQL).
 Excellent communication and presentation skills.
 Previous experience in training or teaching is a plus.
 Certifications in data analytics or related fields are desirable.

Job Type: Full-time

Salary: 30,000.00 - 50,000.00 per month

Work Location: In person

Application Deadline: 03/04/2024
Expected Start Date: 03/04/2024,",Vijayawada+1Other Andhra Pradesh,"data analytics,data visualization,statistical analysis,teaching,Python,R,SQL,Tableau,Power BI",Recruiter DetailsFixity Technologies Pvt LtdVijayawadahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-trainer-permanent/fixity-technologies-pvt-ltd/14576453,4 days ago,2024-03-27,"(2, 6)",hiring
Assembly,Regular,Recruiter DetailsAssemblyDelhihidden_emailhidden_mobile,"As our Data Analyst Marketplace, you will be the go-to person for extracting, analyzing, and interpreting data related to our marketplace platform. You will play a vital role in providing actionable insights to various stakeholders across the organization, informing strategic decisions related to product development, marketing campaigns, customer journey optimization, and overall marketplace performance.

Responsibilities
 Collect, clean, and transform marketplace data from various sources into a usable format.
 Conduct exploratory data analysis to identify trends, patterns, and anomalies within the marketplace data.
 Develop and maintain key performance indicators (KPIs) to track and measure marketplace performance.
 Support the creation and execution of data-driven marketing campaigns and initiatives.
 Analyze customer behavior and preferences to identify opportunities for personalization and engagement.
 Partner with cross-functional teams (product, marketing, sales) to. translate data insights into actionable recommendations.
 Stay up-to-date on the latest data analysis tools and techniques.
 Prepare clear, concise, and visually appealing data reports and presentations.
 Product-related analysis, P& L investigation & reconciliation.

Requirements
 2+ years of experience as a Data Analyst or similar role.
 Experience with data visualization tools like Tableau or Power BI.
 MS Excel - VLookup, HLookup, Pivots charts & Data calculations techniques.
 Excellent analytical and problem-solving skills.
 Ability to communicate complex data insights clearly and concisely to both technical and non-technical audiences.
 Experience working in a fast-paced, data-driven environment.
 Passion for the travel and e-commerce industry (a plus).

Bonus Points
 Experience with marketplace data analysis.
 Knowledge of statistical modeling and machine learning techniques.
 Experience working with cloud-based data platforms (e. g., AWS, GCP).

This job was posted by Revathi Ramakrishnan from Assembly Travel,",Delhi,"Data Analysis,Data Visualization,MS Excel,Analytical Skills,Communication Skills,Statistical Modeling,Machine Learning,Problemsolving Skills,Cloudbased Data Platforms",Recruiter DetailsAssemblyDelhihidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/assembly/14533221,1 week ago,2024-03-30,"(2, 6)",hiring
Convergint Asia Pacific,Regular,Recruiter DetailsConvergint Asia PacificOther Karnatakahidden_emailhidden_mobile,"Company Overview:

Convergint is an internationally renowned systems integration company dedicated to achieving exceptional outcomes for our clients through unparalleled service excellence. At Convergint, our utmost commitment lies in service excellence across all facets: serving our customers, supporting our colleagues, and contributing to our communities.

Position Overview:

We are seeking a talented and detail-oriented Data Analyst specializing in Statistics to join our team. The ideal candidate will have a strong foundation in statistical analysis techniques, data manipulation, and visualization. They will play a crucial role in extracting insights from complex datasets to inform decision-making processes within the organization.

Key Responsibilities:
 Data Collection and Cleaning:

Collect, clean, and preprocess large datasets from various sources (Big Data sources like Azure, SQL Server, spreadsheets etc.,) to ensure data integrity and reliability. Implement data quality. checks and develop strategies for data cleansing and validation.
 Statistical Analysis:

Apply advanced statistical methods to analyze data and extract meaningful insights. Conduct hypothesis testing, regression analysis, time series analysis, and other statistical techniques to address business questions and solve problems.
 Data Visualization:

Create clear and concise visualizations (e.g., charts, graphs, dashboards) to communicate analytical findings and trends effectively. Utilize tools such as Tableau, Power BI, or matplotlib to visualize data and present results to stakeholders.
 Predictive Modeling:

Develop predictive models using machine learning algorithms to forecast trends, identify patterns and optimize business processes. Evaluate model performance and refine algorithms to improve accuracy and efficiency.
 Reporting and Presentation:

Prepare comprehensive reports and presentations summarizing analytical findings and recommendations for key stakeholders. Communicate complex technical concepts in a clear and understandable manner to both technical and non-technical audiences.
 Collaboration and Teamwork:

Collaborate with cross-functional teams including data engineers, business analysts, and decision-makers to understand business requirements and provide analytical support. Contribute to a culture of continuous learning and knowledge sharing within the team.

Qualifications:
 Bachelor's or Master's degree in Statistics, Mathematics, Computer Science, or a related field.
 Proven experience as a Data Analyst or similar role, with a focus on statistical analysis and modeling.
 Proficiency in statistical programming languages such as R or Python, as well as SQL for data manipulation and extraction.
 Strong understanding of statistical concepts and methodologies, including hypothesis testing, regression analysis, and experimental design.
 Experience with data visualization tools such as Tableau, Power BI, matplotlib etc.,
 Familiarity with machine learning techniques and frameworks is a plus.
 Excellent analytical and problem-solving skills, with a keen attention to detail.

Strong communication and presentation skills, with the ability to convey complex ideas to diverse audiences.

Thanks & Regards

HR Dept,",Other Karnataka,"Statistical Analysis,Data Manipulation,Data Visualization,Predictive Modeling,Machine Learning,Data Cleansing,Hypothesis Testing,Regression Analysis,Time Series Analysis,Statistical Programming,SQL,Tableau,Power BI,Matplotlib",Recruiter DetailsConvergint Asia PacificOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/convergint-asia-pacific/14595450,Hot1 day ago,2024-03-30,"(2, 6)",Actively hiring
ContinuumGlobal,Regular,Recruiter DetailsContinuumGlobalOther Haryanahidden_emailhidden_mobile,"About CGXI: CGXI is a digital marketing solutions provider that is creating some of the worlds most impactful brand experiences. We enable the digital world to continuously grow, evolve, and innovate its offerings across global markets, and platforms. We are honored to have won the long standing confidence of leading global and national brands. More information available at www.cgxi.in Our global marketing services teams are on a mission to help leading brands personalize their marketing programs at scale through data, technology and agile marketing operations. You will be a part of a global team that is dedicated to creating immersive brand experiences and transforming ideas into successful marketing programs that matter. Position Summary: We are seeking a talented and analytical individual to join our growing team. In this role, you will play a crucial role in extracting, transforming, and analyzing data using your strong SQL expertise to empower data-driven decision making. across our organization Roles & Responsibilities:
  Based on the client requirement, this individual will collate, clean, and aggregate the data using SQL to find the appropriate solution to meet the desired result.
  Work closely with the Data Lead for reporting needs and creating optimized SQL queries
  Performing data aggregation, derivation of fields, collation and description
  Ability to analyze data and come up with data insights and recommendations
  Ability to understand and interpret email marketing and digital marketing complex and large sets of data.
  In addition, the Data Analyst will work in cohesion and guidance from the Lead Data Scientist, and will be a team contributor. Job Requirements: Technical skills-
  Good with SQL Skills, Report and Dashboard Design
  Good in T-SQL queries, able to write complex queries
  Good hands on experience on joins, Query performance tuning skills
  Basic data analysis techniques and methodologies
  Prior experience in designing reports/dashboards in visualization tools like Tableau, Qlikview and PowerBI.
  Knowledge to do aggregations, grouping, data quality tasks in data set
  Should have worked with different types of data sources
  Good to have in one or more of the following: R/R Studio, Python, or other statistical analysis tool
  Experience working on A/B testing & digital marketing is preferred,",Other Haryana,"SQL,TSQL,Data Analysis,Email Marketing,Digital Marketing,Report Design,Tableau,Qlikview,Data Quality,R,Python,Statistical Analysis,Data Insights,Dashboard Design,Query Performance Tuning,PowerBI,Aggregations,AB Testing",Recruiter DetailsContinuumGlobalOther Haryanahidden_emailhidden_mobile,https://www.shine.com/jobs/associate-data-analyst-permanent/continuumglobal/14566158,5 days ago,2024-03-26,"(2, 6)",hiring
Deep Dot,Regular,Recruiter DetailsDeep DotAll Indiahidden_emailhidden_mobile,"Company Description

Deep Dot is seeking a Data Analyst to spearhead our mission in maximizing business data efficacy. Dive into seamless cloud technology integration, craft insightful data visualization dashboards, and refine analytical models for tangible value creation. Your role will be instrumental in merging technical expertise with strategic insight, driving sustained revenue growth and transformative business insights. Join us at the forefront of analytical excellence and strategic innovation, shaping a new era of data comprehension and impact.

Role Description

This is a full-time remote role for a Data Analyst. The Data Analyst will be responsible for analyzing data, conducting data analytics, performing statistical analysis, and communicating findings to stakeholders. The role also involves data modeling and developing data-driven insights.

Qualifications
 Analytical Skills, Data Analytics, and Statistics
 Excellent communication skills
 Data Modeling
 Experience in. conducting statistical analysis
 Experience with data visualization tools is a plus
 Strong problem-solving skills
 Attention to detail
 Bachelor's degree in Data Science, Statistics, Mathematics, or a related field,",All India,"Analytical Skills,Data Analytics,Statistics,Data Modeling,Data Visualization,ProblemSolving",Recruiter DetailsDeep DotAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/deep-dot/14566629,5 days ago,2024-03-26,"(2, 6)",hiring
Insight Global,Regular,Recruiter DetailsInsight GlobalAll Indiahidden_emailhidden_mobile,"Bachelor's degree in Business, Engineering, or a degree with relevant disciplines such as information management, mathematics/statistics, business information systems
 Minimum 2+ years of experience in the domain, specifically experience in:
 Collaborating on Data Governance frameworks; or
 Experience with building queries or tooling to report on Data Quality statistics; or
 Experience with contributing in Data Compliance activities
 Skills in Tableau, Data Quality
 Skills in DataIKU, Metadata Management, Reference Data Management, Agile/Program Management, Master Data Management, Stakeholder Management, Communications & Training,",All India,"Tableau,Data Quality,Metadata Management,Master Data Management,Stakeholder Management,DataIKU,Reference Data Management,AgileProgram Management,Communications  Training",Recruiter DetailsInsight GlobalAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/insight-global/14550593,7 days ago,2024-03-24,"(2, 6)",hiring
Sallaum Lines,Regular,Recruiter DetailsSallaum LinesAll Indiahidden_emailhidden_mobile,"Who are we looking for 

We are seeking a Business and Data Analyst who will play a crucial role in enhancing our operational efficiencies and market positioning through insightful analysis and strategic data interpretation.

The analyst will be responsible for collecting, processing, and analyzing data to support business decisions, optimize operations, and identify growth opportunities.

What will you do 
 Data Management and Analysis: Collect, integrate, and analyze data from various sources, including shipping operations, customer feedback, market trends, and financial reports. Utilize statistical tools and models to uncover patterns and insights.
 Reporting and Visualization: Develop and maintain dashboards and reports that provide actionable insights to business stakeholders. Present complex data in a comprehensible and visually appealing manner.
 Strategic Support: Support strategic planning efforts by providing data-driven insights and forecasts. Participate in the. development of business strategies by identifying opportunities for growth and efficiency improvements.
 Operational Optimization: Work closely with operational teams to identify areas for process improvement. Use data analysis to propose solutions that enhance productivity, reduce costs, and improve service quality.
 Market Analysis: Conduct market analysis to understand industry trends, competitive landscape, and customer preferences. Provide recommendations to align Sallaum Lines"" services with market demands.
 Project Management: Lead and contribute to projects focused on data infrastructure, analytics capabilities improvement, and cross-functional initiatives. Ensure timely delivery of project outcomes.

What do we expect of you 
 Bachelors degree in business, Economics, Statistics, Data Science, or a related field. A masters degree is a plus.
 Proficiency in data analysis tools (e.g., SQL, Python, R) and visualization software (e.g., Tableau, Power BI).
 Strong understanding of statistical analysis, predictive modeling, and data mining techniques.
 Strong analytical and problem-solving skills with the ability to interpret complex data and translate it into actionable insights.
 Excellent communication and presentation skills, with the ability to articulate findings to both technical and non-technical stakeholders.
 Ability to work collaboratively in a team environment and with cross-functional teams.

What do we have to offer 

You are guaranteed an exciting position in a dynamic, growing, and fast-paced environment.

Our desire is to see each employee achieve his/her highest potential. We will do our best to provide the opportunity and offer training, education, and guidance whenever possible.

We commit to providing a supportive, collaborative, and healthy working environment based on fairness and honesty with our employees.

We provide a fair, equitable, and competitive package in relation to responsibility and performance,",All India,"Data Management,Data Analysis,Statistical Analysis,Predictive Modeling,Data Mining,SQL,Python,R,Tableau,Power BI,Market Analysis,Project Management,Communication Skills,Presentation Skills,Team Collaboration",Recruiter DetailsSallaum LinesAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/sallaum-lines/14566144,5 days ago,2024-03-26,"(2, 6)",hiring
Haven Infoline Pvt Ltd.,Regular,Recruiter DetailsHaven Infoline Pvt Ltd.Other Maharashtrahidden_emailhidden_mobile,"OBJECTIVE

The objective is to conduct full lifecycle analysis to include requirements, activities and design of the product and reports. Develop analysis and reporting capabilities based on data created by the company on product front and customer front and also monitor performance and quality control plans to identify improvements in product development. Use data insights to identify customer experience, identify and fill product gaps and generate new ideas that grow business, improve customer experience and drive growth.

JOB RESPONSIBILITIES

# Interpret data, analyze results using statistical techniques and provide ongoing reports.

# Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

# Acquire data from primary or secondary data sources and maintain databases/data systems

# Identify, analyze, and interpret trends or patterns in complex data sets

# Filter and clean data by reviewing. computer reports, printouts, and performance indicators to locate and correct code probIem, test data accuracy by rigorous testing of dashboard data

# In-source and manipulate metadata in Power Query for optimal Power BI report performance

# Build Power BI reports and dashboards based on business requirements

# Build out UAT scripts and run test sessions to support ready to go state for reporting

# Provide a point-of-view to business team on enhancement opportunities with each Power BI release

# Support business team in requirements gathering & analysis & creation of documents on product enhancement features

SKILLS REQUIRED

# Proven working experience as a Data Analyst

# Working knowledge of Power BI

# Technical expertise regarding data models, database design development, data mining and segmentation techniques

# Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)

# Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS)

# Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

# Adept at queries, report writing and presenting findings

# Able to use logic and reasoning based on sights to ideate on product development and business expansion.

Job Type: Full-time

Salary: 25,000.00 - 35,000.00 per month

Schedule:
 Day shift

Work Location: In person,",Other Maharashtra,"Power BI,Database Design,Data Mining,SQL,XML,Javascript,Statistics,Excel,SPSS,SAS,Analytical Skills,Report Writing,Data Analyst,Segmentation Techniques,Reporting Packages,ETL Frameworks,Querying",Recruiter DetailsHaven Infoline Pvt Ltd.Other Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/haven-infoline-pvt-ltd/14531006,Hot0 days ago,2024-03-31,"(2, 6)",Actively hiring
Data Unveil,Regular,Recruiter DetailsData UnveilHyderabadhidden_emailhidden_mobile,"About us: At Data Unveil, we believe in delivering the best for our clients (Pharma Companies). We use the latest technology and tools to aggregate and analyze specialty healthcare data received from various data partners. We provide clear and hassle-free business insights to enhance the clients vision and drive business success.

Position Title: Data Analyst

Location: Hyderabad, Telangana.

Hire Type: Full Time, On-Site.

Start Date: Immediate.

Job Summary: We seek a highly analytical and detail-oriented individual to join our team as a Data Analyst. The successful candidate will interpret data, analyze results, and provide insights to support decision-making across various departments. The ideal candidate should possess strong analytical skills, proficiency in statistical software, and the ability to communicate complex findings effectively.

Responsibilities:
 Analyze large datasets to identify trends, patterns, and correlations.
 Develop and maintain reports, dashboards, and. visualizations to present key insights to stakeholders.
 Collaborate with cross-functional teams to understand business requirements and translate them into analytical solutions.
 Conduct ad-hoc analysis to address specific business questions and challenges.
 Identify opportunities for process improvement and efficiency gains through data analysis.
 Stay updated on industry trends and best data analytics and visualization practices.
 Communicate findings and recommendations to technical and non-technical audiences through written reports and presentations.
 Requirements:
 Bachelor's degree in Mathematics, Statistics, Computer Science, or a related field.
 Proven experience as a data analyst or in a similar role, with a strong track record of delivering actionable insights.
 Proficiency in SQL for data manipulation and extraction.
 Experience with statistical analysis tools.
 Strong analytical and problem-solving skills, with the ability to work with large datasets.
 Excellent communication and interpersonal skills, with the ability to collaborate effectively with team members at all levels of the organization.
 Detail-oriented, organized, and able to manage multiple projects simultaneously.
 Experience working with cloud-based data platforms such as AWS or Azure is desirable,",Hyderabad+1Other Telangana,"SQL,Statistical Analysis,Data Analysis,Data Manipulation,Data Visualization,Communication,Interpersonal Skills",Recruiter DetailsData UnveilHyderabadhidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/data-unveil/14544275,7 days ago,2024-03-24,"(2, 6)",hiring
Fligen Systems PVT LTD,Regular,Recruiter DetailsFligen Systems PVT LTDOther Maharashtrahidden_emailhidden_mobile,"Company Overview:

Fligen Systems Pvt Ltd is a cutting-edge startup at the forefront of the drone technology revolution. We specialize in providing innovative solutions for data analysis derived from drone operations. Our mission is to harness the power of aerial data to drive actionable insights and empower industries ranging from agriculture to infrastructure.

Job Description:

As a Drone Data Analyst at Fligen Systems Pvt Ltd, you will play a pivotal role in transforming raw aerial data into valuable insights for our clients. You will be responsible for analyzing drone-captured data, processing it, and generating meaningful outputs such as orthomosaics, Digital Elevation Models (DEMs), and comprehensive inspection reports.

Responsibilities:

Data Processing and Analysis:

 Utilize cutting-edge software tools to process drone-captured data, creating high-quality orthomosaics and DEMs.

 Perform advanced data analysis to extract actionable insights and patterns.

 Work with. large datasets derived from drone flights, ensuring accuracy and reliability in results.

Video Analysis and Overlay:

 Develop expertise in video analysis techniques, extracting relevant information from drone footage.

 Overlay required information onto videos, enhancing their utility for clients.

GIS Processing:

 Conduct Geographic Information System (GIS) processing to geospatially analyze and visualize data.

 Implement spatial analysis techniques to derive valuable conclusions.

Challenge-driven Approach:

 Embrace challenges with enthusiasm and proactively seek innovative solutions,",Other Maharashtra+1Pune,"Data Analysis,Spatial Analysis,Drone Technology,Orthomosaics,Digital Elevation Models,GIS Processing",Recruiter DetailsFligen Systems PVT LTDOther Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/drone-data-analyst-permanent/fligen-systems-pvt-ltd/14550892,7 days ago,2024-03-24,"(2, 6)",hiring
